date,gross_ret,net_ret,turnover,tc_drag,n_long,n_short,n_stocks,cumulative_gross,cumulative_net,drawdown
2020-10-30,1.1153852390991053,1.1143852390991054,1.0,0.001,3,0,3,2.1153852390991053,2.1143852390991054,0.0
2020-11-30,-0.22354407730401663,-0.22410657730401662,0.5625,0.0005625000000000001,4,0,4,1.6425033976821592,1.64053760006247,-0.22410657730401662
2020-12-31,3.067828776207102,3.0673179616003607,0.510814606741573,0.000510814606741573,4,0,4,6.681422586109425,6.672588047414834,0.0
2021-01-29,-0.32733664847267596,-0.32783664847267596,0.5,0.0005,4,0,4,4.4943481097427265,4.485069145311518,-0.327836648472676
2021-02-26,0.5176971874117751,0.5171926974757133,0.504489936061757,0.000504489936061757,4,0,4,6.821059485405963,6.804714154940274,0.0
2021-03-31,0.023327406523439825,0.022827406523439824,0.4999999999999999,0.0004999999999999999,4,0,4,6.980177112942594,6.9600481312308995,0.0
2021-04-30,1.0816567451798695,1.0811442651888723,0.5124799909972052,0.0005124799909972052,4,0,4,14.5303327697071,14.484864253749715,0.0
2021-05-28,0.31352039076483246,0.31302039076483246,0.5,0.0005,4,0,4,19.085888377608722,19.018922122634002,0.0
2021-06-30,-0.12886668966735224,-0.1293786554527541,0.5119657854018618,0.0005119657854018618,4,0,4,16.626353123025694,16.558279550246976,-0.12937865545275407
2021-07-30,0.12454410909096617,0.12401857858288239,0.525530508083777,0.0005255305080837771,4,0,4,18.697067460164735,18.611813843846615,-0.021405433818086683
2021-08-31,-0.2562861440186283,-0.25679288597602373,0.5067419573954,0.0005067419573953999,4,0,4,13.905268136342945,13.83243245363673,-0.27270155666839524
2021-09-30,0.024637681049465565,0.024137681049465565,0.5000000000000001,0.0005000000000000001,4,0,4,14.247861697593459,14.16631529634089,-0.25514625881548414
2021-10-29,-0.007303137827992275,-0.007818975139295217,0.5158373113029417,0.0005158373113029418,4,0,4,14.143807599861761,14.055549229223384,-0.2609702517002168
2021-11-30,-0.04853588987068836,-0.04903588987068836,0.5000000000000001,0.0005000000000000001,4,0,4,13.457325311842666,13.366322865147147,-0.2972092330490076
2021-12-31,-0.30959820690764,-0.3101092878076041,0.5110808999640897,0.0005110808999640897,4,0,4,9.29096152552338,9.221302000829871,-0.5151511772659397
2022-01-31,0.012309812083372347,0.011809812083372347,0.4999999999999999,0.0004999999999999999,4,0,4,9.405331515976417,9.330203844623696,-0.5094252037806062
2022-02-28,0.4562123149025817,0.45570147536595923,0.5108395366224574,0.0005108395366224574,4,0,4,13.696159579306226,13.58199150208386,-0.2858695453660737
2022-03-31,-0.2031283629331559,-0.20366512481139926,0.5367618782433758,0.0005367618782433759,4,0,4,10.91408110549049,10.815813507624586,-0.4313130135407136
2022-04-29,-0.08683582681850738,-0.08734307390602865,0.5072470875212639,0.000507247087521264,4,0,4,9.966347848730974,9.871127109074308,-0.48098388302842376
2022-05-31,-0.07195964794385887,-0.07248346917367172,0.5238212298128602,0.0005238212298128602,4,0,4,9.249172966250258,9.155633571554326,-0.5186039717435718
2022-06-30,0.3127004539116858,0.3121958008618489,0.5046530498369135,0.0005046530498369135,4,0,4,12.141393551104407,12.013983926823357,-0.368314153170343
2022-07-29,-0.16118383982294865,-0.16168383982294865,0.49999999999999994,0.0004999999999999999,4,0,4,10.184397117735813,10.07151687396337,-0.4704475464475729
2022-08-31,-0.3097157425742636,-0.3102284454362285,0.5127028619649151,0.0005127028619649151,4,0,4,7.030129001745076,6.94704585096897,-0.6347297808900829
2022-09-30,-0.020515077869589393,-0.021015077869589394,0.5,0.0005,4,0,4,6.8859053578410165,6.801053141447249,-0.6424059629881198
2022-10-31,0.09788553122576824,0.0973731563120117,0.5123749137565361,0.0005123749137565362,4,0,4,7.559935861763648,7.46329315207569,-0.6075859029259187
2022-11-30,-0.2916167603523404,-0.2921167603523404,0.4999999999999999,0.0004999999999999999,4,0,4,5.355331857284654,5.283140134931532,-0.7222166376797883
2022-12-30,0.4786004952332701,0.47809160922681776,0.5088860064523197,0.0005088860064523198,4,0,4,7.918396336319598,7.808965103811735,-0.5894107429716821
2023-01-31,0.07474756134993066,0.07424756134993066,0.5,0.0005,4,0,4,8.510277152261713,8.388761719436465,-0.5589254919208495
2023-02-28,-0.14467772232626208,-0.14518210962147,0.5043872952079157,0.0005043872952079158,4,0,4,7.279029637507261,7.170863595896848,-0.6229616195040327
2023-03-31,-0.09725981448713822,-0.09781537699787082,0.5555625107326072,0.0005555625107326073,4,0,4,6.571072565316924,6.46944286986389,-0.6598417708349125
2023-04-28,-0.004306926514834497,-0.004812923629844274,0.5059971150097773,0.0005059971150097773,4,0,4,6.542771438654459,6.438305935403594,-0.6614789264139471
2023-05-31,0.06923488100523012,0.06870133537739756,0.5335456278325547,0.0005335456278325547,4,0,4,6.995759440654118,6.880626150734046,-0.638222076605195
2023-06-30,0.005409351376081381,0.005069951226290657,0.3394001497907244,0.00033940014979072443,4,0,4,7.033601961611154,6.915510589724607,-0.6363878801788346
2023-07-31,-0.3507775788578632,-0.3513755898537148,0.5980109958516224,0.0005980109958516225,4,0,4,4.566372094867276,4.485568977120512,-0.7641523032589562
2023-08-31,-0.2995539541910876,-0.3003836444504405,0.8296902593529216,0.0008296902593529216,4,0,4,3.198497277541943,3.1381774203392183,-0.8349970939412732
2023-09-29,-0.10335975004671041,-0.10385975004671041,0.5,0.0005,4,0,4,2.867901398410124,2.8122470978605567,-0.8521342545215135
2023-10-31,0.0012231045971126953,0.0007221821008903324,0.5009224962223628,0.0005009224962223629,4,0,4,2.8714091417945853,2.814278052377912,-0.8520274685267941
2023-11-30,0.03761963370807822,0.03684866021920881,0.7709734888694114,0.0007709734888694114,4,0,4,2.979430501934925,2.9179804280923625,-0.8465748789927617
2023-12-29,-0.14096521056747086,-0.14146521056747086,0.5,0.0005,4,0,4,2.559434453858523,2.5051877124005175,-0.8682791960423903
2024-01-31,0.0936867332093726,0.09302938053051989,0.6573526788527145,0.0006573526788527145,5,0,5,2.799219506704043,2.738243773397808,-0.8560252912472319
2024-02-29,-0.07929642162401118,-0.07979642162401118,0.5,0.0005,5,0,5,2.577251416482283,2.519741718746433,-0.867513957810062
2024-03-28,-0.02100025529145983,-0.021600030784668742,0.5997754932089131,0.0005997754932089131,5,0,5,2.5231284787858783,2.4653152200520956,-0.8703756603999037
2024-04-30,0.2586677341823527,0.2581677341823527,0.5,0.0005,5,0,5,3.175780405444388,3.101780064458213,-0.836910838350463
2024-05-31,0.12613260609311017,0.12578915862821288,0.34344746489727873,0.00034344746489727875,5,0,5,3.576349864362522,3.491950369016176,-0.816395989925187
2024-06-28,0.028061044569067474,0.027510644838093765,0.5503997309737096,0.0005503997309737096,5,0,5,3.676705977300977,3.5880161754104303,-0.8113449252131691
2024-07-31,0.006030487677047719,0.005512975236723862,0.5175124403238576,0.0005175124403238576,5,0,5,3.698878307389218,3.6077968197344323,-0.810304874457587
2024-08-30,0.01060912068568106,0.00995299868980402,0.6561219958770398,0.0006561219958770398,5,0,5,3.7381201537539583,3.643705216754328,-0.8084168391216012
2024-09-30,-0.010673060264605619,-0.011506371854145747,0.8333115895401275,0.0008333115895401275,5,0,5,3.6982229720766058,3.601779389603462,-0.8106212662116608
2024-10-31,0.16414515016010506,0.16364515016010506,0.4999999999999999,0.0004999999999999999,5,0,5,4.30526833715367,4.191193118658692,-0.7796303548837373
2024-11-29,0.059783844912837864,0.05910992247332491,0.6739224395129542,0.0006739224395129542,6,0,6,4.562653831730216,4.4389342189733405,-0.766604322245441
2024-12-31,-0.06737185623805596,-0.06832264955420474,0.950793316148784,0.000950793316148784,6,0,6,4.255259373714873,4.135654471936258,-0.7825505333441317
2025-01-31,-0.034379431172394705,-0.034879431172394705,0.5,0.0005,6,0,6,4.108965976955555,3.9914051964295507,-0.7901350470498291
2025-02-28,-0.09014828176178491,-0.09047295829939624,0.32467653761132204,0.00032467653761132203,6,0,6,3.738549754315378,3.6302909605369864,-0.8091221501865946
2025-03-31,0.052079838010035816,0.05147866918582403,0.6011688242117853,0.0006011688242117853,6,0,6,3.9332528199125822,3.817173507942757,-0.7992960125011489
2025-04-30,0.19330654760887322,0.19280654760887322,0.4999999999999999,0.0004999999999999999,6,0,6,4.693576343402748,4.553149553633252,-0.760598969580161
2025-05-30,-0.16251312283659053,-0.1631442187660217,0.6310959294311766,0.0006310959294311767,6,0,6,3.9308085945644216,3.8103295267808943,-0.7996558636597862
2025-06-30,-0.0945958910222008,-0.0950958910222008,0.5,0.0005,6,0,6,3.558970253123875,3.447982845343464,-0.8187077678161322
2025-07-31,-0.009225859677786417,-0.009873323630378223,0.6474639525918072,0.0006474639525918072,6,0,6,3.5261356929711383,3.413939794839396,-0.8204977246961571
2025-08-29,0.25794116911241344,0.25718727488123166,0.7538942311817511,0.0007538942311817511,6,0,6,4.435671256065124,4.291961667282731,-0.7743320236757812
2025-09-30,0.24775063038267028,0.24725063038267028,0.5000000000000001,0.0005000000000000001,6,0,6,5.534611605925549,5.353151895096643,-0.7185354742724366
2025-10-31,-0.12611898512058628,-0.1266809861419875,0.5620010214012323,0.0005620010214012324,6,0,6,4.8365920071496005,4.67500933405795,-0.7541916779555912
2025-11-28,0.002006932460832358,0.0010102194173133498,0.9967130435190079,0.000996713043519008,6,0,6,4.846298720648551,4.679732119263337,-0.7539433576157246
2025-12-31,-0.026131623532315046,-0.026631623532315046,0.5,0.0005,6,0,6,4.719657066955423,4.5551032552310335,-0.7604962454833282
2026-01-30,-0.011737766704133547,-0.012029263224038996,0.2914965199054493,0.0002914965199054493,6,0,6,4.664258833379986,4.500308719161183,-0.7633772991895549
2026-02-27,-0.1547225498478211,-0.15535185508885135,0.6293052410302391,0.0006293052410302391,6,0,6,3.942592813529211,3.8011774111669605,-0.8001370747165917
2026-03-31,0.0,-0.0004999999999999999,0.49999999999999994,0.0004999999999999999,6,0,6,3.942592813529211,3.799276822461377,-0.8002370061792334
2026-04-17,0.0,-0.00034418128213162664,0.34418128213162663,0.00034418128213162664,6,0,6,3.942592813529211,3.7979691824934494,-0.8003057608625691
